gene_symbol	cytobandID
SKI	p36.32
ENSG00000287356	p36.32
MORN1	p36.32
ENSG00000272161	p36.32
ENSG00000292993	p36.32
ENSG00000269896	p36.32
ENSG00000272420	p36.32
RER1	p36.32
PEX10	p36.32
PLCH2	p36.32
ENSG00000224387	p36.32
ENSG00000229393	p36.32
PANK4	p36.32
HES5	p36.32
ENSG00000272449	p36.32
TNFRSF14-AS1	p36.32
TNFRSF14	p36.32
ENSG00000225931	p36.32
ENSG00000228037	p36.32
ENSG00000289610	p36.32
PRXL2B	p36.32
MMEL1	p36.32
MMEL1-AS1	p36.32
TTC34	p36.32
ENSG00000285945	p36.32
ENSG00000283259	p36.32
ENSG00000233234	p36.32
ENSG00000287396	p36.32
ENSG00000231630	p36.32
ENSG00000284745	p36.32
ACTRT2	p36.32
PRDM16-DT	p36.32
PRDM16	p36.32
MIR4251	p36.32
ENSG00000226286	p36.32
ENSG00000279839	p36.32
ENSG00000272235	p36.32
ENSG00000287828	p36.32
ENSG00000286518	p36.32
ARHGEF16	p36.32
ENSG00000272088	p36.32
MEGF6	p36.32
MIR551A	p36.32
ENSG00000238260	p36.32
TPRG1L	p36.32
WRAP73	p36.32
TP73	p36.32
TP73-AS3	p36.32
TP73-AS2	p36.32
GFOD3P	p36.32
ENSG00000276189	p36.32
CCDC27	p36.32
SMIM1	p36.32
LRRC47	p36.32
RN7SL574P	p36.32
ENSG00000272153	p36.32
CEP104	p36.32
DFFB	p36.32
C1orf174	p36.32
LINC01134	p36.32
LINC01346	p36.32
LINC01345	p36.32
LINC02780	p36.32
ENSG00000284703	p36.32
EEF1DP6	p36.32
LINC01777	p36.32
ENSG00000284694	p36.32
ENSG00000227169	p36.32
LINC01646	p36.32
AJAP1	p36.32
ENSG00000287586	p36.32
ENSG00000284739	p36.32
LINC02781	p36.32
LINC02782	p36.32
ENSG00000284616	p36.31
ENSG00000284692	p36.31
ENSG00000284666	p36.31
ENSG00000260972	p36.31
ENSG00000283356	p36.31
ENSG00000236948	p36.31
ENSG00000264341	p36.31
ENSG00000289893	p36.31
MIR4689	p36.31
NPHP4	p36.31
KCNAB2	p36.31
CHD5	p36.31
ENSG00000285629	p36.31
RPL22	p36.31
RNF207-AS1	p36.31
RNF207	p36.31
ICMT	p36.31
ICMT-DT	p36.31
HES3	p36.31
GPR153	p36.31
ACOT7	p36.31
ENSG00000271746	p36.31
HES2	p36.31
ESPN	p36.31
MIR4252	p36.31
ENSG00000231868	p36.31
TNFRSF25	p36.31
PLEKHG5	p36.31
NOL9	p36.31
RNU6-731P	p36.31
ENSG00000229519	p36.31
TAS1R1	p36.31
ZBTB48	p36.31
KLHL21	p36.31
PHF13	p36.31
THAP3	p36.31
DNAJC11	p36.31
LINC01672	p36.31
ENSG00000284744	p36.31
CAMTA1-DT	p36.31
CAMTA1	p36.31
ENSG00000227950	p36.31
CAMTA1-AS3	p36.31
RNU1-8P	p36.23
CAMTA1-IT1	p36.23
CAMTA1-AS2	p36.23
CAMTA1-AS1	p36.23
ENSG00000270171	p36.23
ENSG00000270035	p36.23
ENSG00000269978	p36.23
VAMP3	p36.23
ENSG00000269925	p36.23
PER3	p36.23
ENSG00000236266	p36.23
UTS2	p36.23
TNFRSF9	p36.23
ENSG00000270330	p36.23
PARK7	p36.23
Y_RNA	p36.23
ENSG00000284747	p36.23
ENSG00000284716	p36.23
ERRFI1	p36.23
ERRFI1-DT	p36.23
RPL7AP18	p36.23
ENSG00000229305	p36.23
ENSG00000288816	p36.23
LINC01714	p36.23
RNU1-7P	p36.23
ENSG00000233645	p36.23
RNU6-991P	p36.23
SLC45A1	p36.23
RERE	p36.23
RERE-AS1	p36.23
ENSG00000221083	p36.23
ENSG00000270282	p36.23
RPL7P11	p36.23
RPL7P7	p36.23
ENSG00000226545	p36.23
ENSG00000228423	p36.23
RPL23AP19	p36.23
ENO1	p36.23
MIR6728	p36.23
ENO1-AS1	p36.23
RNU6-304P	p36.23
HMGN2P17	p36.23
ENSG00000232208	p36.23
ENSG00000232663	p36.23
CA6	p36.23
ENSG00000290109	p36.23
RN7SL451P	p36.23
SLC2A7	p36.23
SLC2A5	p36.23
ENSG00000252404	p36.23
GPR157	p36.22
MIR34AHG	p36.22
MIR34A	p36.22
ENSG00000289914	p36.22
LNCTAM34A	p36.22
H6PD	p36.22
SPSB1	p36.22
ENSG00000284652	p36.22
LINC02606	p36.22
RNA5SP40	p36.22
ENSG00000235263	p36.22
SLC25A33	p36.22
ENSG00000231181	p36.22
TMEM201	p36.22
PIK3CD	p36.22
PIK3CD-AS1	p36.22
ENSG00000233268	p36.22
PIK3CD-AS2	p36.22
CLSTN1	p36.22
MZT1P1	p36.22
ENSG00000280113	p36.22
CTNNBIP1	p36.22
ENSG00000223989	p36.22
ENSG00000285701	p36.22
LZIC	p36.22
ENSG00000228150	p36.22
NMNAT1	p36.22
RN7SKP269	p36.22
TMEM274P	p36.22
MIR5697	p36.22
ENSG00000241326	p36.22
RBP7	p36.22
UBE4B	p36.22
RPL21P21	p36.22
PGAM1P11	p36.22
RNU6-828P	p36.22
KIF1B	p36.22
ENSG00000264881	p36.22
RNU6-37P	p36.22
RN7SL731P	p36.22
ENSG00000284735	p36.22
ENSG00000284642	p36.22
PGD	p36.22
ENSG00000271989	p36.22
CENPS-CORT	p36.22
CENPS	p36.22
CORT	p36.22
DFFA	p36.22
ENSG00000203469	p36.22
PEX14	p36.22
ENSG00000287727	p36.22
RN7SL614P	p36.22
CASZ1	p36.22
ENSG00000272078	p36.22
HSPE1P24	p36.22
C1orf127	p36.22
CFL1P6	p36.22
TARDBP	p36.22
MASP2	p36.22
SRM	p36.22
EXOSC10-AS1	p36.22
EXOSC10	p36.22
MTOR	p36.22
MTOR-AS1	p36.22
RNU6-537P	p36.22
ANGPTL7	p36.22
RNU6-291P	p36.22
RPL39P6	p36.22
UBIAD1	p36.22
UBE2V2P3	p36.22
ENSG00000284646	p36.22
MTCYBP45	p36.22
DISP3	p36.22
ENSG00000285833	p36.22
LINC01647	p36.22
ENSG00000284708	p36.22
FBXO2	p36.22
FBXO44	p36.22
MAD2L2	p36.22
FBXO6	p36.22
DRAXIN	p36.22
AGTRAP	p36.22
C1orf167	p36.22
C1orf167-AS1	p36.22
MTHFR	p36.22
CLCN6	p36.22
ENSG00000276470	p36.22
ENSG00000278852	p36.22
NPPA	p36.22
ENSG00000275915	p36.22
NPPB	p36.22
SBF1P2	p36.22
ENSG00000285646	p36.22
RNU5E-1	p36.22
RNU5E-4P	p36.22
KIAA2013	p36.22
PLOD1	p36.22
ENSG00000287384	p36.22
MFN2	p36.22
ENSG00000270914	p36.22
MIIP	p36.22
MIR6729	p36.22
RN7SL649P	p36.22
TNFRSF8	p36.22
RNU6-777P	p36.22
RPL23AP89	p36.22
ENSG00000285604	p36.22
MIR7846	p36.22
TNFRSF1B	p36.22
MIR4632	p36.22
RPL10P17	p36.22
SNORA70	p36.22
VPS13D	p36.22
SNORA59A	p36.21
LINC02766	p36.21
DHRS3	p36.21
RNU6ATAC18P	p36.21
MIR6730	p36.21
ENSG00000288927	p36.21
AADACL4	p36.21
ENSG00000226166	p36.21
AADACL3	p36.21
CFAP107	p36.21
PRAMEF12	p36.21
PRAMEF1	p36.21
LINC01784	p36.21
PRAMEF11	p36.21
PRAMEF30P	p36.21
HNRNPCL1	p36.21
PRAMEF2	p36.21
PRAMEF4	p36.21
PRAMEF10	p36.21
PRAMEF7	p36.21
RNU6-1072P	p36.21
PRAMEF29P	p36.21
PRAMEF6	p36.21
PRAMEF28P	p36.21
PRAMEF27	p36.21
HNRNPCL3	p36.21
PRAMEF25	p36.21
PRAMEF34P	p36.21
PRAMEF35P	p36.21
HNRNPCL2	p36.21
PRAMEF36P	p36.21
ENSG00000290772	p36.21
ENSG00000233336	p36.21
PRAMEF26	p36.21
HNRNPCL4	p36.21
PRAMEF9	p36.21
PRAMEF13	p36.21
PRAMEF18	p36.21
PRAMEF31P	p36.21
PRAMEF5	p36.21
PRAMEF32P	p36.21
RNU6-771P	p36.21
PRAMEF8	p36.21
PRAMEF33	p36.21
PRAMEF15	p36.21
ENSG00000228229	p36.21
PRAMEF14	p36.21
PRAMEF19	p36.21
PRAMEF17	p36.21
PRAMEF20	p36.21
LRRC38	p36.21
ENSG00000259961	p36.21
BRWD1P1	p36.21
PDPN	p36.21
RNA5SP41	p36.21
ENSG00000237445	p36.21
ENSG00000253085	p36.21
PRDM2	p36.21
ENSG00000289380	p36.21
KAZN	p36.21
RNU6-1265P	p36.21
ENSG00000231606	p36.21
KAZN-AS1	p36.21
TBCAP2	p36.21
ENSG00000287756	p36.21
TMEM51-AS1	p36.21
TMEM51	p36.21
TMEM51-AS2	p36.21
MFFP1	p36.21
ZBTB2P1	p36.21
FHAD1	p36.21
FHAD1-AS1	p36.21
ENSG00000236045	p36.21
EFHD2-AS1	p36.21
EFHD2	p36.21
CTRC	p36.21
CELA2A	p36.21
CELA2B	p36.21
CASP9	p36.21
DNAJC16	p36.21
SCARNA21B	p36.21
ENSG00000272510	p36.21
AGMAT	p36.21
ENSG00000237301	p36.21
CHCHD2P6	p36.21
RNU7-179P	p36.21
CD24P1	p36.21
DDI2	p36.21
RSC1A1	p36.21
ENSG00000271742	p36.21
PLEKHM2	p36.21
ENSG00000237938	p36.21
SLC25A34	p36.21
SLC25A34-AS1	p36.21
TMEM82	p36.21
FBLIM1	p36.21
RPL12P14	p36.21
UQCRHL	p36.21
ENSG00000178715	p36.21
SPEN-AS1	p36.21
SPEN	p36.21
ENSG00000270620	p36.13
ZBTB17	p36.13
ENSG00000234607	p36.13
ENSG00000231353	p36.13
ENSG00000275503	p36.13
TBC1D3P6	p36.13
SRARP	p36.13
ENSG00000233078	p36.13
HSPB7	p36.13
CLCNKA	p36.13
FAM131C2P	p36.13
CLCNKB	p36.13
FAM131C	p36.13
EPHA2	p36.13
EPHA2-AS1	p36.13
ENSG00000224621	p36.13
ARHGEF19-AS1	p36.13
ARHGEF19	p36.13
ENSG00000291077	p36.13
ANO7L1	p36.13
ENSG00000288398	p36.13
CPLANE2	p36.13
MT1XP1	p36.13
FBXO42	p36.13
SZRD1	p36.13
RPL22P3	p36.13
SPATA21	p36.13
NECAP2	p36.13
CROCCP3	p36.13
LINC01772	p36.13
RNU1-1	p36.13
ENSG00000261135	p36.13
ENSG00000285853	p36.13
ENSG00000224174	p36.13
LINC01783	p36.13
RNU1-6P	p36.13
PDE4DIPP8	p36.13
NBPF1	p36.13
ENSG00000271732	p36.13
ENSG00000291072	p36.13
CROCCP2	p36.13
ENSG00000283773	p36.13
MST1P2	p36.13
ENSG00000282143	p36.13
RNU1-3	p36.13
ENSG00000280114	p36.13
EIF1AXP1	p36.13
ENSG00000290849	p36.13
ESPNP	p36.13
ENSG00000279151	p36.13
ENSG00000293526	p36.13
ENSG00000282740	p36.13
CROCC	p36.13
ENSG00000290850	p36.13
RNU1-4	p36.13
CROCCP4	p36.13
ENSG00000290851	p36.13
MST1L	p36.13
ENSG00000223643	p36.13
PDE4DIPP9	p36.13
MIR3675	p36.13
ENSG00000228549	p36.13
RNU1-5P	p36.13
ENSG00000238142	p36.13
ENSG00000235241	p36.13
RNU1-2	p36.13
ENSG00000272426	p36.13
ENSG00000290122	p36.13
MFAP2	p36.13
ENSG00000286898	p36.13
ENSG00000226526	p36.13
ATP13A2	p36.13
ENSG00000288636	p36.13
SDHB	p36.13
PADI2	p36.13
LINC02783	p36.13
ENSG00000282843	p36.13
PADI1	p36.13
PADI3	p36.13
MIR3972	p36.13
PADI4	p36.13
PADI6	p36.13
RCC2-AS1	p36.13
RCC2	p36.13
ENSG00000290096	p36.13
ARHGEF10L	p36.13
LINC02810	p36.13
ACTL8	p36.13
ENSG00000284653	p36.13
LINC01654	p36.13
IGSF21	p36.13
ENSG00000280222	p36.13
IGSF21-AS1	p36.13
ENSG00000225387	p36.13
KLHDC7A	p36.13
DYNLL1P3	p36.13
ENSG00000225478	p36.13
PAX7	p36.13
TAS1R2	p36.13
ALDH4A1	p36.13
MIR4695	p36.13
MIR1290	p36.13
IFFO2	p36.13
ENSG00000272084	p36.13
UBR4	p36.13
EMC1-AS1	p36.13
EMC1	p36.13
MRTO4	p36.13
ENSG00000286064	p36.13
AKR7L	p36.13
AKR7A3	p36.13
ENSG00000270728	p36.13
AKR7A2	p36.13
RNU6-1099P	p36.13
SLC66A1	p36.13
CAPZB	p36.13
RN7SL277P	p36.13
MICOS10	p36.13
RNU4-28P	p36.13
MICOS10-DT	p36.13
NBL1	p36.13
MICOS10-NBL1	p36.13
ENSG00000226396	p36.13
HTR6	p36.13
TMCO4	p36.13
RNF186	p36.13
RNF186-AS1	p36.13
OTUD3	p36.13
PLA2G2E	p36.13
RN7SL304P	p36.13
PLA2G2A	p36.13
PLA2G5	p36.13
PLA2G2D	p36.12
PLA2G2F	p36.12
ENSG00000227066	p36.12
PLA2G2C	p36.12
UBXN10	p36.12
LINC01757	p36.12
ENSG00000284710	p36.12
VWA5B1	p36.12
ENSG00000226664	p36.12
LINC01141	p36.12
ENSG00000226487	p36.12
ENSG00000284641	p36.12
ENSG00000284743	p36.12
CAMK2N1	p36.12
ENSG00000289402	p36.12
MUL1	p36.12
RPS4XP4	p36.12
FAM43B	p36.12
CDA	p36.12
PINK1	p36.12
MIR6084	p36.12
PINK1-AS	p36.12
DDOST	p36.12
KIF17	p36.12
ENSG00000235432	p36.12
SH2D5	p36.12
ENSG00000233069	p36.12
HP1BP3	p36.12
EIF4G3	p36.12
RNU7-200P	p36.12
MIR1256	p36.12
RPS15AP6	p36.12
ENSG00000236073	p36.12
HSPE1P27	p36.12
ENSG00000287192	p36.12
ECE1	p36.12
ENSG00000236936	p36.12
ECE1-AS1	p36.12
PPP1R11P1	p36.12
PDE4DIPP10	p36.12
ENSG00000236009	p36.12
NBPF2P	p36.12
HS6ST1P1	p36.12
CROCCP5	p36.12
NBPF3	p36.12
PFN1P10	p36.12
ALPL	p36.12
ENSG00000289715	p36.12
LINC02596	p36.12
RAP1GAP	p36.12
USP48	p36.12
ENSG00000231978	p36.12
LDLRAD2	p36.12
HSPG2	p36.12
RPL21P29	p36.12
ENSG00000293453	p36.12
ENSG00000283234	p36.12
CELA3B	p36.12
ENSG00000285959	p36.12
RN7SL386P	p36.12
RNU6-1022P	p36.12
CELA3A	p36.12
RN7SL186P	p36.12
RNU6-776P	p36.12
LINC01635	p36.12
LINC00339	p36.12
ENSG00000289694	p36.12
CDC42-AS1	p36.12
ENSG00000285794	p36.12
CDC42	p36.12
CDC42-IT1	p36.12
MPHOSPH6P1	p36.12
WNT4	p36.12
ENSG00000285873	p36.12
MIR4418	p36.12
PPIAP34	p36.12
ENSG00000279625	p36.12
ZBTB40	p36.12
ZBTB40-IT1	p36.12
EPHA8	p36.12
MIR6127	p36.12
C1QA	p36.12
ENSG00000289692	p36.12
C1QC	p36.12
C1QB	p36.12
EPHB2	p36.12
MIR4684	p36.12
ENSG00000225952	p36.12
MIR4253	p36.12
LACTBL1	p36.12
TEX46	p36.12
KDM1A	p36.12
ENSG00000240553	p36.12
MIR3115	p36.12
ENSG00000266802	p36.12
LUZP1	p36.12
ENSG00000293565	p36.12
ENSG00000229010	p36.12
RNU6-514P	p36.12
RNU6-135P	p36.12
ENSG00000289014	p36.12
HTR1D	p36.12
RPL29P6	p36.12
LINC01355	p36.12
ENSG00000284726	p36.12
HNRNPR	p36.12
ZNF436	p36.12
ZNF436-AS1	p36.12
ENSG00000271420	p36.12
TCEA3	p36.12
ENSG00000232482	p36.12
ASAP3	p36.12
E2F2	p36.12
ENSG00000235052	p36.12
ID3	p36.12
ENSG00000285802	p36.12
MDS2	p36.11
EEF1A1P48	p36.11
RPL11	p36.11
ELOA-AS1	p36.11
ELOA	p36.11
PITHD1	p36.11
ENSG00000289835	p36.11
LYPLA2	p36.11
GALE	p36.11
HMGCL	p36.11
FUCA1	p36.11
CNR2	p36.11
BTBD6P1	p36.11
ENSG00000232557	p36.11
MIR378F	p36.11
H3P1	p36.11
PNRC2	p36.11
SRSF10	p36.11
RPL36P5	p36.11
ENSG00000225315	p36.11
MYOM3	p36.11
MYOM3-AS1	p36.11
IL22RA1	p36.11
IFNLR1	p36.11
GRHL3	p36.11
LINC02800	p36.11
GRHL3-AS1	p36.11
STPG1	p36.11
NIPAL3	p36.11
ENSG00000288982	p36.11
NCMAP-DT	p36.11
RCAN3	p36.11
NCMAP	p36.11
ENSG00000227312	p36.11
SRRM1	p36.11
ENSG00000284699	p36.11
CLIC4	p36.11
RNU6-1208P	p36.11
RUNX3	p36.11
MIR6731	p36.11
RUNX3-AS1	p36.11
ENSG00000261025	p36.11
MIR4425	p36.11
LINC02793	p36.11
ENSG00000233755	p36.11
IFITM3P7	p36.11
ENSG00000231953	p36.11
SYF2	p36.11
ENSG00000284602	p36.11
ENSG00000284657	p36.11
RSRP1	p36.11
ENSG00000272432	p36.11
ENSG00000261349	p36.11
RHD	p36.11
SDHDP6	p36.11
ENSG00000259984	p36.11
TMEM50A	p36.11
RHCE	p36.11
ENSG00000238084	p36.11
MACO1	p36.11
LDLRAP1	p36.11
ENSG00000225643	p36.11
MAN1C1	p36.11
ENSG00000233478	p36.11
SELENON	p36.11
ENSG00000255054	p36.11
ENSG00000228172	p36.11
MTFR1L	p36.11
ENSG00000272478	p36.11
AUNIP	p36.11
ENSG00000236528	p36.11
PAQR7	p36.11
STMN1	p36.11
SNRPFP2	p36.11
ENSG00000223624	p36.11
MIR3917	p36.11
PAFAH2	p36.11
RNU6-110P	p36.11
ENSG00000252190	p36.11
ENSG00000252691	p36.11
EXTL1	p36.11
SLC30A2	p36.11
ENSG00000284309	p36.11
TRIM63	p36.11
PDIK1L	p36.11
FAM110D	p36.11
C1orf232	p36.11
ZNF593OS	p36.11
ZNF593	p36.11
CNKSR1	p36.11
CATSPER4	p36.11
ZPLD2P	p36.11
ENSG00000278572	p36.11
CEP85	p36.11
ENSG00000270733	p36.11
SH3BGRL3	p36.11
UBXN11	p36.11
CD52	p36.11
CRYBG2	p36.11
ENSG00000225854	p36.11
ZNF683	p36.11
LIN28A	p36.11
DHDDS	p36.11
RPL17P9	p36.11
DHDDS-AS1	p36.11
HMGN2	p36.11
DPPA2P2	p36.11
RPS6KA1	p36.11
MIR1976	p36.11
RN7SL679P	p36.11
RNU7-29P	p36.11
ENSG00000289452	p36.11
ENSG00000229247	p36.11
ENSG00000238316	p36.11
ENSG00000235069	p36.11
ENSG00000260063	p36.11
ENSG00000290006	p36.11
ARID1A	p36.11
PIGV	p36.11
RN7SL165P	p36.11
ENSG00000287810	p36.11
ZDHHC18	p36.11
SFN	p36.11
GPN2	p36.11
ENSG00000226698	p36.11
ENSG00000289554	p36.11
GPATCH3	p36.11
NUDC	p36.11
NR0B2	p36.11
KDF1	p36.11
RPL12P13	p36.11
RPL32P6	p36.11
OSTCP2	p36.11
TRNP1	p36.11
TENT5B	p36.11
SLC9A1	p36.11
ENSG00000229985	p36.11
CHCHD3P3	p36.11
NPM1P39	p36.11
SNRPEP7	p36.11
WDTC1-DT	p36.11
WDTC1	p36.11
ENSG00000243659	p36.11
TMEM222	p36.11
RNU6-48P	p36.11
ACTG1P20	p36.11
SYTL1	p36.11
MAP3K6	p36.11
FCN3	p36.11
CD164L2	p36.11
ENSG00000231207	p36.11
GPR3	p36.11
WASF2	p36.11
ENSG00000241169	p36.11
ENSG00000237429	p36.11
AHDC1	p36.11
FGR	p35.3
ENSG00000235912	p35.3
LINC02574	p35.3
IFI6	p35.3
ENSG00000225886	p35.3
RNU6-949P	p35.3
CHMP1AP1	p35.3
RNU6-424P	p35.3
ENSG00000287244	p35.3
FAM76A	p35.3
ENSG00000231344	p35.3
RPEP3	p35.3
STX12	p35.3
ENSG00000269971	p35.3
ENSG00000270031	p35.3
RNU6-1245P	p35.3
ENSG00000286433	p35.3
PPP1R8	p35.3
SCARNA1	p35.3
THEMIS2	p35.3
RPA2	p35.3
SMPDL3B	p35.3
ENSG00000227050	p35.3
XKR8	p35.3
EYA3	p35.3
ENSG00000238231	p35.3
RN7SL559P	p35.3
SPCS2P4	p35.3
ENSG00000228943	p35.3
ENSG00000289576	p35.3
ARL8BP2	p35.3
RNU6-176P	p35.3
PTAFR	p35.3
DNAJC8	p35.3
ENSG00000290123	p35.3
ATP5IF1	p35.3
ENSG00000270605	p35.3
ENSG00000271398	p35.3
SESN2	p35.3
MED18	p35.3
PHACTR4	p35.3
DNAJC8P4	p35.3
RNU6ATAC27P	p35.3
RCC1	p35.3
SNHG3	p35.3
SNORA73A	p35.3
SNORA73B	p35.3
PRDX3P2	p35.3
ENSG00000279443	p35.3
TRNAU1AP	p35.3
SNHG12	p35.3
SNORD99	p35.3
SNORA61	p35.3
SNORA44	p35.3
SNORA16A	p35.3
TAF12	p35.3
RAB42	p35.3
TAF12-DT	p35.3
ENSG00000270103	p35.3
RNU11	p35.3
GMEB1	p35.3
ENSG00000252777	p35.3
ENSG00000289291	p35.3
YTHDF2	p35.3
OPRD1	p35.3
ENSG00000233427	p35.3
EPB41	p35.3
ENSG00000225616	p35.3
Metazoa_SRP	p35.3
TMEM200B	p35.3
ENSG00000225750	p35.3
SRSF4	p35.3
ENSG00000277916	p35.3
MECR	p35.3
ENSG00000237934	p35.3
PTPRU	p35.3
LINC01756	p35.3
ENSG00000225011	p35.3
ENSG00000228176	p35.3
ENSG00000284676	p35.3
ENSG00000270927	p35.2
LINC01648	p35.2
ENSG00000233372	p35.2
ENSG00000231251	p35.2
ENSG00000236335	p35.2
ENSG00000231949	p35.2
ENSG00000289710	p35.2
MATN1	p35.2
MATN1-AS1	p35.2
ENSG00000287510	p35.2
LAPTM5	p35.2
MIR4420	p35.2
ENSG00000229607	p35.2
LINC01778	p35.2
RN7SKP91	p35.2
ENSG00000235143	p35.2
SDC3	p35.2
RN7SL371P	p35.2
PUM1	p35.2
ENSG00000237329	p35.2
ENSG00000232768	p35.2
SELENOWP1	p35.2
RPL21P22	p35.2
NKAIN1	p35.2
SNRNP40	p35.2
ENSG00000229447	p35.2
ZCCHC17	p35.2
ENSG00000229044	p35.2
FABP3	p35.2
SERINC2	p35.2
EEF1A1P46	p35.2
RNU6-40P	p35.2
LDC1P	p35.2
LINC01226	p35.2
ENSG00000229167	p35.2
TINAGL1	p35.2
HCRTR1	p35.2
PEF1	p35.2
PEF1-AS1	p35.2
ENSG00000264078	p35.2
COL16A1	p35.2
ADGRB2	p35.2
MIR4254	p35.2
ENSG00000254545	p35.2
SPOCD1	p35.2
ENSG00000203620	p35.2
ENSG00000269967	p35.2
PTP4A2	p35.2
ENSG00000288678	p35.2
ENSG00000228634	p35.2
ENSG00000284702	p35.2
KHDRBS1	p35.2
ENSG00000203325	p35.2
TMEM39B	p35.2
MIR5585	p35.2
KPNA6	p35.2
ENSG00000250135	p35.2
TXLNA	p35.2
CCDC28B	p35.2
ENSG00000224066	p35.2
IQCC	p35.2
DCDC2B	p35.2
TMEM234	p35.2
EIF3I	p35.2
ENSG00000291132	p35.2
MTMR9LP	p35.2
ENSG00000290045	p35.2
FAM167B	p35.2
LCK	p35.2
HDAC1	p35.1
MARCKSL1	p35.1
ENSG00000233775	p35.1
TSSK3	p35.1
FAM229A	p35.1
BSDC1	p35.1
GAPDHP20	p35.1
ENSG00000270850	p35.1
LRRC37A12P	p35.1
RN7SL122P	p35.1
ENSG00000254553	p35.1
ZBTB8B	p35.1
ZBTB8A	p35.1
ZBTB8OS	p35.1
RBBP4	p35.1
SYNC	p35.1
ENSG00000224409	p35.1
NHSL3	p35.1
YARS1	p35.1
S100PBP	p35.1
FNDC5	p35.1
HPCA	p35.1
TMEM54	p35.1
ENSG00000287691	p35.1
